"","file","folder","valid"
"73","chin022.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"74","chin023.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"75","chin024.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"76","chin025.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"77","chin026.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"78","chin027.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",FALSE
"79","chin028.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"80","chin029.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"81","chin030.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"82","chin031.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"83","chin032.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"84","chin033.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"85","chin034.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"86","chin035.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"87","chin036.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"88","indi001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"89","indi001e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"90","indi001l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"91","indi001n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"92","indi001x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"93","indi002.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"94","indi002e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"95","indi002l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"96","indi002n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"97","indi002x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"98","indi003.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"99","indi003e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"100","indi003l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"101","indi003n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"102","indi003x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"103","indi004.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"104","indi004e.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"105","indi004l.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"106","indi004n.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"107","indi004x.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
