"","id","effect","type","model"
"840",152,0.993343144182698,"T","rcs"
"841",153,1.00123983444375,"T","rcs"
"842",154,0.980715276901378,"T","rcs"
"843",155,0.980790762056087,"T","rcs"
"844",156,0.988256525290875,"T","rcs"
"845",157,0.989971929119401,"T","rcs"
"846",158,0.973399184696341,"T","rcs"
"847",159,1.09105589983201,"T","rcs"
"848",160,1.13636417896238,"T","rcs"
"849",161,1.06183614317117,"T","rcs"
"850",162,1.02810798331661,"T","rcs"
"851",163,1.11420279097656,"T","rcs"
"852",164,1.14347079708553,"T","rcs"
"853",165,1.0742646325296,"T","rcs"
"854",166,1.02643133617689,"T","rcs"
"855",167,1.03436124084024,"T","rcs"
"856",168,1.01629121962438,"T","rcs"
"857",169,1.10727296477594,"T","rcs"
"858",170,1.24961511213361,"T","rcs"
"859",171,1.11960079528696,"T","rcs"
"860",172,1.083474225958,"T","rcs"
"861",173,1.05340761171763,"T","rcs"
"862",174,1.02715660432513,"T","rcs"
"863",175,1.03681822977033,"T","rcs"
"864",176,1.10793276741196,"T","rcs"
"865",177,1.05090989615162,"T","rcs"
"866",178,1.0349076695663,"T","rcs"
"867",179,1.03348308427694,"T","rcs"
"868",180,1.01448591066797,"T","rcs"
"869",181,1.01432542313428,"T","rcs"
"870",182,1.17735861693391,"T","rcs"
"871",183,1.16018144229185,"T","rcs"
"872",184,1.16966147320407,"T","rcs"
"873",185,1.09890722047476,"T","rcs"
"874",186,1.12627449651703,"T","rcs"
"875",187,1.06916760188876,"T","rcs"
"876",188,1.11606667800387,"T","rcs"
"877",189,1.13275552318418,"T","rcs"
"878",190,1.0670953441461,"T","rcs"
"879",191,1.05866210702696,"T","rcs"
"880",192,1.11517807621443,"T","rcs"
"881",193,1.05742078009031,"T","rcs"
"882",194,1.0476167526206,"T","rcs"
"883",195,1.03746621750928,"T","rcs"
"884",196,1.10665153883934,"T","rcs"
"885",197,1.06297329229843,"T","rcs"
"886",198,1.04201874285404,"T","rcs"
"887",199,1.17875522160999,"T","rcs"
"888",200,1.21413041477274,"T","rcs"
"889",201,1.1231634096217,"T","rcs"
"890",202,1.09821149018564,"T","rcs"
"891",203,1.06249974181405,"T","rcs"
"892",204,1.0435151866823,"T","rcs"
"893",205,1.09707525044185,"T","rcs"
"894",206,1.05405468566098,"T","rcs"
"895",207,1.03967077554327,"T","rcs"
"896",208,1.17168217196992,"T","rcs"
"897",209,1.15099723878848,"T","rcs"
"898",210,1.09112519309136,"T","rcs"
"899",211,1.06437136641754,"T","rcs"
