"","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC"
"rcs",118342,2667,0.982854635634827,120986.025810925,114317.78880815,-165872.911660251,0.0551157619905331,0.0333387023101075,337079.823320502,337202.851070904,362899.941142625
"sfs_ta",118342,2667,0.981837758633388,120986.025810925,114081.361180871,-165750.409767129,0.0570699350092296,0.0353379138009703,336834.819534258,336957.84728466,362654.937356381
"sfs_ita",118342,3315,0.941273235075915,120986.025810925,104849.57016064,-160757.251285529,0.133374540920147,0.108406518009086,328144.502571059,328335.633967438,360238.124835902
