"","id","effect","type","model"
"840",152,1.08311443525546,"T","rcs"
"841",153,1.08244903054038,"T","rcs"
"842",154,1.08163108488181,"T","rcs"
"843",155,1.08137001186797,"T","rcs"
"844",156,1.08051621064442,"T","rcs"
"845",157,1.0801070946757,"T","rcs"
"846",158,1.07997553784916,"T","rcs"
"847",159,1.05988373986823,"T","rcs"
"848",160,1.06977881005663,"T","rcs"
"849",161,1.07003980123447,"T","rcs"
"850",162,1.069634988135,"T","rcs"
"851",163,1.08568970179044,"T","rcs"
"852",164,1.08198771550965,"T","rcs"
"853",165,1.08265970980204,"T","rcs"
"854",166,1.08262942887149,"T","rcs"
"855",167,1.08255754731161,"T","rcs"
"856",168,1.08220198810274,"T","rcs"
"857",169,1.05607848997369,"T","rcs"
"858",170,1.04800043209042,"T","rcs"
"859",171,1.04856843317205,"T","rcs"
"860",172,1.04857431506741,"T","rcs"
"861",173,1.04822153186084,"T","rcs"
"862",174,1.04786001626379,"T","rcs"
"863",175,1.04767596976598,"T","rcs"
"864",176,1.03735589608486,"T","rcs"
"865",177,1.0374995426675,"T","rcs"
"866",178,1.03722798859575,"T","rcs"
"867",179,1.03696300942813,"T","rcs"
"868",180,1.03657131776809,"T","rcs"
"869",181,1.03611479200073,"T","rcs"
"870",182,1.01837233835454,"T","rcs"
"871",183,1.01525373334053,"T","rcs"
"872",184,1.02715707537205,"T","rcs"
"873",185,1.00167267413055,"T","rcs"
"874",186,1.01004198363732,"T","rcs"
"875",187,1.00992212876285,"T","rcs"
"876",188,1.01713159896599,"T","rcs"
"877",189,1.00697860239943,"T","rcs"
"878",190,1.00737537633158,"T","rcs"
"879",191,1.00723767109147,"T","rcs"
"880",192,1.01200158550096,"T","rcs"
"881",193,1.01196263562165,"T","rcs"
"882",194,1.01171988490954,"T","rcs"
"883",195,1.01167596876757,"T","rcs"
"884",196,1.00905708675224,"T","rcs"
"885",197,1.00893633563513,"T","rcs"
"886",198,1.00891608945032,"T","rcs"
"887",199,1.01833289391949,"T","rcs"
"888",200,1.00911684763141,"T","rcs"
