"","ID","BirthYear","PO"
"224","00230720","806",1.4
"225","00261709","826",1.7
"226","00240280","769",5.2
"227","00230570","814",2.5
"228","00240180","732",5.2
"229","00240670","799",4
"230","00tb141a","872",0.1
"231","00240890","807",3.2
"232","00231020","861",2.6
"233","00241080","866",0.7
"234","00TB070Z","894",0.1
"235","00260140","897",0.1
"236","00240660","897",0.1
"237","00231780","864",3.2
"238","00221960","899",0.1
"239","00240020","869",2.3
"240","00230840","905",0.1
"241","00240940","905",0.1
"242","00240360","844",5.4
"243","00240380","809",10.2
"244","00TB0089","924",0.1
"245","AS31040Z","925",0.1
"246","00230180","926",0.1
"247","00260820","925",0.1
"248","00260810","903",5.1
"249","00TB071Z","932",0.1
"250","00231290","914",3.1
"251","00260480","939",0.1
"252","00TB0109","949",0.1
"253","00240800","951",0.1
"254","00260780","935",2.6
"255","00TB0229","956",0.1
"256","00231170","959",0.1
"257","00241050","921",6.2
"258","00TB0279","969",0.1
"259","00240421","963",2
"260","00230230","981",1.2
"261","00240760","988",0.1
"262","00230940","888",10
"263","00TB0099","989",0.1
"264","00TB0199","990",0.1
"265","00230690","976",2.2
"266","00TB0209","992",0.1
"267","00TB114Z","992",0.1
"268","00231300","983",4.4
"269","00230640","979",2.4
"270","00TE0719","1001",0.1
"271","00241180","1004",0.1
"272","00TB045Z","1005",0.1
"273","00230410","985",2.6
"274","00240720","930",4.1
"275","00230510","1018",0.1
"276","00240870","1009",0.7
"277","00221870","1021",0.1
"278","00240780","1021",0.1
"279","00240620","1019",0.3
"280","00TB058Z","1034",0.1
"281","00230920","1019",3.3
"282","00240680","1044",0.6
"283","00260770","1036",3.1
"284","00TB144X","1054",0.1
"285","00230260","1073",0.1
"286","00TB143A","1074",0.1
"287","00260390","1052",2.3
"288","00230670","1065",2
"289","00240500","1061",2.6
"290","00261730","1070",0.8
"291","00231010","1082",1.8
"292","00230380","1132",0.1
"293","00260400","1110",1.4
"294","00230250","1109",3.5
"295","00261720","1135",2.1
"296","00240400","1084",7.3
"297","00TB0129","1166",0.1
"298","00230060","1159",0.8
"299","00241070","1161",2.9
"300","00260690","1157",1
"301","00TB0169","1186",0.1
"302","00TB123Z","1187",0.1
"303","00231320","1181",0.9
"304","00221800","1197",0.1
"305","00230190","1179",4
"306","00230790","1223",1.1
"307","00240930","1211",6.1
"308","00260160","1248",0.1
"309","00230130","1249",0.1
"310","00221560","1249",0.1
"311","00240630","1201",2.7
"312","00240260","1256",1.5
"313","00261500","1264",0.1
"314","00230490","1257",0.9
"315","00260700","1259",0.8
"316","00240422","974",14.2
"317","00260460","1256",1
"318","00240950","1252",2.1
"319","00240080","1192",5.2
"320","00261520","1268",1
"321","00240530","1200",4.9
"322","00240840","1276",0.1
"323","00261250","1268",0.2
"324","00230830","1261",1.9
"325","00260930","1280",0.1
"326","00240412","1005",35.5
"327","00230730","1277",0.2
"328","00261020","1278",2
"329","00260920","1265",1.7
"330","00230430","1273",3.2
"331","00231330","1287",2.8
"332","00230280","1288",1.7
"333","00240490","1260",4.9
"334","00240522","1312",0.1
"335","00260640","1285",1.6
"336","00260170","1290",1.2
"337","00230160","1313",0.1
"338","00230740","1281",2.7
"339","00240200","1295",0.8
"340","00230680","1319",0.1
"341","00230240","1321",0.1
"342","00TB073Z","1322",0.1
"343","00260350","1327",0.2
"344","00260740","1302",2.3
"345","00240750","1301",4
"346","00260560","1341",0.1
"347","00tb097a","1341",0.1
"348","00260450","1334",0.8
"349","00240300","1344",0.1
"350","00231144","1359",0.5
"351","00261750","1345",2.1
"352","00221330","1376",0.1
"353","00260470","1359",3.9
"354","00261270","1394",4.3
"355","00240130","1429",0.1
"356","00261090","1430",0.1
"357","00TN1069","1432",0.1
"358","00TB239X","1432",0.1
"359","00260970","1433",0.1
"360","00TN1089","1433",0.1
"361","00261010","1433",0.1
"362","00261190","1435",0.1
"363","00230370","1419",1.3
"364","00260880","1437",0.1
"365","00261440","1439",0.1
"366","00261351","1432",1.2
"367","00261000","1429",1
"368","00260990","1420",2
"369","00261170","1423",2.6
"370","00261120","1436",0.7
"371","00TB0269","1443",0.1
"372","00260890","1443",0.1
"373","00261510","1443",0.1
"374","00260720","1436",1
"375","00261069","1440",1.7
"376","00261570","1449",0.1
"377","00230780","1448",0.1
"378","00261652","1446",0.6
"379","00260850","1429",2.3
"380","00230290","1426",3
"381","00261150","1440",1.7
"382","00261160","1427",3.7
"383","00261560","1457",0.1
"384","00261280","1445",1.7
"385","00260980","1457",0.3
"386","00261110","1463",0.1
"387","00261610","1463",0.1
"388","00261050","1464",0.1
"389","00261590","1464",0.1
"390","00261200","1464",0.1
"391","00241100","1464",0.1
"392","00260222","1464",0.1
"393","00261100","1465",0.1
"394","00260870","1466",0.1
"395","00TB113Z","1470",0.1
"396","00TN1149","1450",1.6
"397","00260650","1471",0.1
"398","00261070","1458",2.8
"399","00260530","1477",0.1
"400","00220050","1454",1.5
"401","00260730","1479",0.1
"402","00260430","1434",2.2
"403","00260130","1475",0.3
"404","00230460","1444",6.4
"405","00260830","1474",1.1
"406","00261630","1467",2.4
"407","00260911","1487",0.1
"408","00240050","1456",6.4
"409","00260840","1460",3.5
"410","00261230","1482",1.6
"411","00262002","1490",0.1
"412","00TB146X","1491",0.1
"413","00260710","1486",1
"414","00261180","1486",1
"415","00240580","1494",0.1
"416","00240739","1495",0.1
"417","00240010","1476",2.3
"418","00261210","1498",0.1
"419","00260790","1479",2.6
"420","00230650","1467",5
"421","00261319","1503",0.1
"422","00TE0079","1504",0.1
"423","00240540","1465",3.1
