"","mean","sd"
"sigma",0.41798260729001,0.123719861398977
"Rsq",0.631043987060192,0.102179147825938
"adj.Rsq",0.571681905573757,0.119359105539384
"wAIC",0.994088075874013,0.0365126795195118
"wAICc",0.997636908284091,0.0266414744996492
"wBIC",0.999272624825534,0.00848608201579245
