"","X","X.1","file","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","form","error","I","T","A","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice","sigma_best","Rsq_best","adj.Rsq_best","wAIC_best","wAICc_best","wBIC_best"
"23",10,10,"alge002.rwl",6212,437,76.1864229082092,56109585.5278493,36050948.5017917,-35731.6806400138,0.357490379537766,0.308982293906332,72337.3612800276,72403.6605526289,75280.223366553,"additive","norm",FALSE,FALSE,TRUE,63635.9607701399,63618.8057408685,64596.4984608903,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"24",10,10,"alge002.rwl",6212,437,0.64083549638141,3779.79362725057,2550.67219868657,-6049.71493474361,0.325182152724582,0.274234865899979,12973.4298694872,13039.7291420885,15916.2919560126,"multiplicative","lnorm",FALSE,FALSE,TRUE,4272.0293595995,4254.87433032806,5232.56705034991,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"25",10,10,"alge002.rwl",6212,477,56.0826747830504,56109585.5278493,19535249.6776117,-33828.5951036139,0.651837569395062,0.62294039119664,68611.1902072278,68690.7179365616,71823.4218211239,"additive","norm",TRUE,TRUE,FALSE,59909.7896973401,59905.8631248012,61139.6969154613,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"26",10,10,"alge002.rwl",6212,477,0.451599945032133,3779.79362725057,1266.68693180264,-3875.66354121334,0.664879340853317,0.637064618315597,8705.32708242667,8784.85481176047,11917.5586963228,"multiplicative","lnorm",TRUE,TRUE,FALSE,3.92657253895595,0,1233.83379066011,0.123111837687098,1,1.19233025800017e-268,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"27",10,10,"alge002.rwl",6212,438,89.9434423843699,56109585.5278493,50245889.5844003,-36762.8588809428,0.10450435319182,0.0367295700856238,74401.7177618856,74468.332000583,77351.3140865952,"additive","norm",FALSE,TRUE,FALSE,65700.3172519979,65683.4771888225,66667.5891809326,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"28",10,10,"alge002.rwl",6212,438,0.740001777358787,3779.79362725057,3401.15993799925,-6943.49625208226,0.100173111706825,0.0320705224820037,14762.9925041645,14829.6067428619,17712.5888288742,"multiplicative","lnorm",FALSE,TRUE,FALSE,6061.5919942768,6044.75193110143,7028.86392321148,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"29",10,10,"alge002.rwl",6212,41,67.6725825324442,56109585.5278493,28443761.6076776,-34995.5452430934,0.493067693512726,0.489781792968326,70073.0904861867,70073.6486709517,70349.1942517417,"additive","norm",TRUE,FALSE,FALSE,61371.689976299,61288.7938591912,59665.4693460791,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"30",10,10,"alge002.rwl",6212,41,0.555573009875524,3779.79362725057,1917.09576473565,-5162.81057005383,0.492804117422107,0.489516508395512,10407.6211401077,10408.1793248727,10683.7249056627,"multiplicative","lnorm",TRUE,FALSE,FALSE,1706.22063021994,1623.32451311218,0,0,0,1,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"31",10,10,"alge002.rwl",6212,0,95.0468581976074,56109585.5278493,56109585.5278493,-42205.1430940237,0,0.000160978750804897,84410.2861880474,84410.2861880474,84410.2861880474,"additive","norm",FALSE,FALSE,FALSE,75708.8856781597,75625.4313762869,73726.5612823847,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"32",10,10,"alge002.rwl",6212,0,0.780105391825739,3779.79362725057,3779.79362725057,-139497.892230046,0,0.000160978750804897,278995.784460091,278995.784460091,278995.784460091,"multiplicative","lnorm",FALSE,FALSE,FALSE,270294.383950204,270210.929648331,268312.059554429,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"33",11,11,"alge003.rwl",5257,344,35.540193422546,25676106.9876355,6638881.71177896,-26229.8419106974,0.741437371523029,0.723385879243851,53147.6838213947,53196.0062969648,55406.8404568766,"additive","norm",TRUE,TRUE,TRUE,47300.0962244022,47333.7836288822,48298.3282261267,0,0,0,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
"34",11,11,"alge003.rwl",5257,344,0.39603633319567,3140.26424377741,824.376149021394,-2589.56718623448,0.737481917117346,0.719154275670419,5867.13437246896,5915.456848039,8126.29100795085,"multiplicative","lnorm",TRUE,TRUE,TRUE,19.5467754763895,53.2341799563756,1017.77877720095,5.69438602322681e-05,2.75641559365245e-12,9.82079468460981e-222,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
"35",11,11,"alge003.rwl",5257,306,38.5500735601018,25676106.9876355,7810984.54934753,-26657.2031180664,0.69578781732336,0.677047216289958,53926.4062361328,53964.3625997691,55936.0048711835,"additive","norm",FALSE,TRUE,TRUE,48078.8186391402,48102.1399316865,48827.4926404336,0,0,0,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
"36",11,11,"alge003.rwl",5257,306,0.426093826875188,3140.26424377741,954.258069526807,-2974.13574217492,0.696121728794729,0.677401697948918,6560.27148434983,6598.2278479862,8569.87011940058,"multiplicative","lnorm",FALSE,TRUE,TRUE,712.683887357259,736.005179903575,1461.35788865068,1.748378505231e-155,1.50836295544019e-160,4.67914257141224e-318,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
"37",11,11,"alge003.rwl",5257,192,54.8408612463167,25676106.9876355,15807525.4471217,-28510.1776041981,0.384348824581005,0.361132758538552,57404.3552083961,57418.9902794862,58665.2798421534,"additive","norm",TRUE,FALSE,TRUE,51556.7676114035,51556.7676114035,51556.7676114035,0,0,0,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
"38",11,11,"alge003.rwl",5257,192,0.631107628704194,3140.26424377741,2093.44818582937,-5039.17388880685,0.333352857175112,0.308213744780334,10462.3477776137,10476.9828487037,11723.272411371,"multiplicative","lnorm",TRUE,FALSE,TRUE,4614.76018062112,4614.76018062112,4614.76018062112,0,0,0,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
"39",11,11,"alge003.rwl",5257,154,57.6903811477588,25676106.9876355,17492914.4845737,-28776.4703913726,0.318708459463987,0.298281728971725,57860.9407827451,57870.2978976021,58872.3074160713,"additive","norm",FALSE,FALSE,TRUE,52013.3531857526,52008.0752295194,51763.7951853214,0,0,0,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
"40",11,11,"alge003.rwl",5257,154,0.654553373504366,3140.26424377741,2251.88126423381,-5230.93197470737,0.282900708532401,0.261400377042191,10769.8639494147,10779.2210642717,11781.2305827409,"multiplicative","lnorm",FALSE,FALSE,TRUE,4922.27635242217,4916.99839618904,4672.71835199103,0,0,0,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
"41",11,11,"alge003.rwl",5257,192,36.3841617397865,25676106.9876355,6957930.7772645,-26353.2200092905,0.729011458761442,0.718792542398843,53090.440018581,53105.075089671,54351.3646523383,"additive","norm",TRUE,TRUE,FALSE,47242.8524215884,47242.8524215884,47242.8524215884,0,0,0,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
"42",11,11,"alge003.rwl",5257,192,0.406897238327385,3140.26424377741,870.211545607229,-2731.79379849629,0.722885885373628,0.712435975029376,5847.58759699257,5862.22266808262,7108.51223074991,"multiplicative","lnorm",TRUE,TRUE,FALSE,0,0,0,0.999943056139768,0.999999999997244,1,2,1,1,2,10,10,10,0.39603633319567,0.741437371523029,0.723385879243851,0.999943056139768,0.999999999997244,1
