"","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC"
"rcs",94074,3187,1.18398188339402,147241.962191227,131872.763775608,-149372.245036881,0.104380559637328,0.0729850516219301,305118.490073762,305342.070295138,335241.494546832
"sfs_ta",94074,3187,1.18340304954542,147241.962191227,131743.853424069,-149326.242195686,0.105256059729972,0.0738912419485476,305026.484391372,305250.064612748,335149.488864443
"sfs_ita",94074,3800,1.16322079336028,147241.962191227,127288.540756766,-147708.025974439,0.135514503729219,0.0991343676952255,303016.051948879,303336.054607481,338933.032494115
