"","X","id","effect","type","model"
"742",1166,-213,1.13302681292039,"T","RCS"
"743",1165,-214,1.13270050380162,"T","RCS"
"744",1164,-215,1.13246597506895,"T","RCS"
"745",1163,-216,1.10882679684307,"T","RCS"
"746",1162,-217,1.10862701466322,"T","RCS"
"747",1161,-218,1.10777648580668,"T","RCS"
"748",1160,-219,1.10720497319992,"T","RCS"
"749",1357,-22,1.00158317511153,"T","RCS"
"750",1159,-220,1.10640616675582,"T","RCS"
"751",1158,-221,1.1062777847269,"T","RCS"
"752",1157,-222,1.106156316163,"T","RCS"
"753",1156,-223,1.10595168705925,"T","RCS"
"754",1155,-224,1.10638694050912,"T","RCS"
"755",1154,-225,1.10609576266543,"T","RCS"
"756",1153,-226,1.10622539817913,"T","RCS"
"757",1152,-227,1.10631276629351,"T","RCS"
"758",1151,-228,1.10739095465758,"T","RCS"
"759",1150,-229,1.15848070616697,"T","RCS"
"760",1356,-23,1.00106357914233,"T","RCS"
"761",1149,-230,1.15759148791634,"T","RCS"
"762",1148,-231,1.1573218402658,"T","RCS"
"763",1147,-232,1.15734523883181,"T","RCS"
"764",1146,-233,1.15756563546376,"T","RCS"
"765",1145,-234,1.16579994899298,"T","RCS"
"766",1144,-235,1.16598072221894,"T","RCS"
"767",1143,-236,1.16583061385413,"T","RCS"
"768",1142,-237,1.16562752127148,"T","RCS"
"769",1141,-238,1.16516075528376,"T","RCS"
"770",1140,-239,1.16563866284106,"T","RCS"
"771",1355,-24,1.00070893524261,"T","RCS"
"772",1139,-240,1.16510804989094,"T","RCS"
"773",1138,-241,1.16488797715491,"T","RCS"
"774",1137,-242,1.16484320217403,"T","RCS"
"775",1136,-243,1.1652547854452,"T","RCS"
"776",1135,-244,1.16483770400427,"T","RCS"
"777",1134,-245,1.16445390616852,"T","RCS"
"778",1133,-246,1.16448235402415,"T","RCS"
"779",1132,-247,1.16465071979678,"T","RCS"
"780",1131,-248,1.16507856765966,"T","RCS"
"781",1130,-249,1.165162459897,"T","RCS"
"782",1354,-25,1.00057346843357,"T","RCS"
"783",1129,-250,1.16529721254444,"T","RCS"
"784",1128,-251,1.16523047313235,"T","RCS"
"785",1127,-252,1.16553534772047,"T","RCS"
"786",1126,-253,1.2437862164726,"T","RCS"
"787",1125,-254,1.2436821701132,"T","RCS"
"788",1124,-255,1.24323977803997,"T","RCS"
"789",1123,-256,1.24320841406173,"T","RCS"
"790",1122,-257,1.24313460125042,"T","RCS"
"791",1121,-258,1.24314719296721,"T","RCS"
"792",1120,-259,1.24319580287182,"T","RCS"
"793",1353,-26,1.00121507185801,"T","RCS"
"794",1119,-260,1.24359321459956,"T","RCS"
"795",1118,-261,1.24325852972749,"T","RCS"
"796",1117,-262,1.2436091766084,"T","RCS"
"797",1116,-263,1.24333267901758,"T","RCS"
"798",1115,-264,1.24306280890295,"T","RCS"
"799",1114,-265,1.24290117869822,"T","RCS"
"800",1113,-266,1.24277176814565,"T","RCS"
"801",1112,-267,1.24327455867967,"T","RCS"
"802",1111,-268,1.24319197353024,"T","RCS"
"803",1110,-269,1.24300626536907,"T","RCS"
"804",1352,-27,1.00011986294094,"T","RCS"
"805",1109,-270,1.25168170238782,"T","RCS"
"806",1108,-271,1.25110143607228,"T","RCS"
"807",1107,-272,1.25095396281856,"T","RCS"
"808",1106,-273,1.25124282178181,"T","RCS"
"809",1105,-274,1.25101410023598,"T","RCS"
"810",1104,-275,1.25068257519476,"T","RCS"
"811",1103,-276,1.25040230706211,"T","RCS"
"812",1102,-277,1.24971864642301,"T","RCS"
"813",1101,-278,1.24974113452319,"T","RCS"
"814",1100,-279,1.24962608961136,"T","RCS"
"815",1351,-28,0.999985906714392,"T","RCS"
"816",1099,-280,1.25008516487415,"T","RCS"
"817",1098,-281,1.24989314552723,"T","RCS"
"818",1097,-282,1.24998782414285,"T","RCS"
"819",1096,-283,1.25009563756086,"T","RCS"
"820",1095,-284,1.23237154330517,"T","RCS"
"821",1094,-285,1.23202725024276,"T","RCS"
"822",1093,-286,1.23181975698639,"T","RCS"
"823",1092,-287,1.23160660931825,"T","RCS"
"824",1091,-288,1.23168201715438,"T","RCS"
"825",1090,-289,1.23134744787496,"T","RCS"
"826",1350,-29,0.999812545624395,"T","RCS"
"827",1089,-290,1.23163729263332,"T","RCS"
"828",1088,-291,1.23164404567163,"T","RCS"
"829",1087,-292,1.23207332261518,"T","RCS"
"830",1086,-293,1.23201345639075,"T","RCS"
"831",1085,-294,1.17979061231477,"T","RCS"
"832",1084,-295,1.17973604822865,"T","RCS"
"833",1083,-296,1.17938762778991,"T","RCS"
"834",1082,-297,1.17897137334699,"T","RCS"
"835",1081,-298,1.17891600083874,"T","RCS"
"836",1080,-299,1.1788759424343,"T","RCS"
"837",1376,-3,0.983632824977456,"T","RCS"
"838",1349,-30,1.00004288730782,"T","RCS"
"839",1079,-300,1.17892446428984,"T","RCS"
"840",1078,-301,1.17892102486106,"T","RCS"
"841",1077,-302,1.17854079050794,"T","RCS"
"842",1076,-303,1.17900180338907,"T","RCS"
"843",1075,-304,1.17887284227666,"T","RCS"
"844",1074,-305,1.1790747819786,"T","RCS"
"845",1073,-306,1.17907782037485,"T","RCS"
"846",1072,-307,1.18061192721776,"T","RCS"
"847",1071,-308,1.0871151494862,"T","RCS"
"848",1070,-309,1.08737359421374,"T","RCS"
"849",1348,-31,0.999363839329535,"T","RCS"
"850",1069,-310,1.00912374511473,"T","RCS"
"851",1068,-311,1.0086563405088,"T","RCS"
"852",1067,-312,1.00935036082079,"T","RCS"
"853",1066,-313,1.02671775408416,"T","RCS"
"854",1065,-314,1.02673016244087,"T","RCS"
"855",1064,-315,1.02670609904851,"T","RCS"
"856",1063,-316,1.0264586935914,"T","RCS"
"857",1062,-317,1.02611220914809,"T","RCS"
"858",1061,-318,1.02517901613889,"T","RCS"
"859",1060,-319,1.01589215373552,"T","RCS"
"860",1347,-32,0.998813601524869,"T","RCS"
"861",1059,-320,1.01640806053148,"T","RCS"
"862",1058,-321,1.0157456681692,"T","RCS"
"863",1057,-322,1.01451303258734,"T","RCS"
"864",1056,-323,1.01437787538121,"T","RCS"
"865",1055,-324,1.01454169952854,"T","RCS"
"866",1054,-325,1.01371811066518,"T","RCS"
"867",1053,-326,1.01255105737613,"T","RCS"
"868",1052,-327,1.01486847572424,"T","RCS"
"869",1051,-328,0.957099802037349,"T","RCS"
"870",1050,-329,0.957031718423129,"T","RCS"
"871",1346,-33,0.998860365858039,"T","RCS"
"872",1049,-330,0.957167807167931,"T","RCS"
"873",1048,-331,0.958331940530145,"T","RCS"
"874",1047,-332,0.957480356385609,"T","RCS"
"875",1046,-333,0.957799493998973,"T","RCS"
"876",1045,-334,0.956689201506236,"T","RCS"
"877",1044,-335,0.895312703850868,"T","RCS"
"878",1043,-336,0.89643689514446,"T","RCS"
"879",1042,-337,0.896731254378827,"T","RCS"
"880",1041,-338,0.896321984197079,"T","RCS"
"881",1040,-339,0.898167494754698,"T","RCS"
"882",1345,-34,0.998615147583063,"T","RCS"
"883",1039,-340,0.897200966670591,"T","RCS"
"884",1038,-341,0.896386437236836,"T","RCS"
"885",1037,-342,0.895210999559639,"T","RCS"
"886",1036,-343,0.894077930075113,"T","RCS"
"887",1035,-344,0.893778071152169,"T","RCS"
"888",1034,-345,0.894590796284516,"T","RCS"
"889",1033,-346,0.895243104429955,"T","RCS"
"890",1032,-347,0.89469279477616,"T","RCS"
"891",1031,-348,0.896211869082313,"T","RCS"
"892",1030,-349,0.970270079698794,"T","RCS"
"893",1344,-35,0.998333711479452,"T","RCS"
"894",1029,-350,0.898086662287051,"T","RCS"
"895",1028,-351,0.897181121125129,"T","RCS"
"896",1027,-352,0.870314413102588,"T","RCS"
"897",1026,-353,0.868683150428752,"T","RCS"
"898",1025,-354,0.867053824253222,"T","RCS"
"899",1024,-355,0.866976705521531,"T","RCS"
"900",1023,-356,0.8670494332507,"T","RCS"
"901",1022,-357,0.86615048906195,"T","RCS"
"902",1021,-358,0.864471269039814,"T","RCS"
"903",1020,-359,0.864929082798988,"T","RCS"
"904",1343,-36,0.997858780276294,"T","RCS"
"905",1019,-360,0.86451088571711,"T","RCS"
"906",1018,-361,0.863950632919037,"T","RCS"
"907",1017,-362,0.863693212973322,"T","RCS"
"908",1016,-363,0.863898733526965,"T","RCS"
"909",1015,-364,0.86322823557917,"T","RCS"
"910",1014,-365,0.861793640015714,"T","RCS"
"911",1013,-366,0.861071617944141,"T","RCS"
"912",1012,-367,0.861660118542587,"T","RCS"
"913",1011,-368,0.861899860129466,"T","RCS"
"914",1010,-369,0.862519566488906,"T","RCS"
"915",1342,-37,0.997901632194164,"T","RCS"
"916",1009,-370,0.862521272755484,"T","RCS"
"917",1008,-371,0.862148318952362,"T","RCS"
"918",1007,-372,0.862810234041182,"T","RCS"
"919",1006,-373,0.863217535803233,"T","RCS"
"920",1005,-374,0.862439950005473,"T","RCS"
"921",1004,-375,0.861476139435537,"T","RCS"
"922",1003,-376,0.861158130704333,"T","RCS"
"923",1002,-377,0.861238548343813,"T","RCS"
"924",1001,-378,0.861166531031564,"T","RCS"
"925",1000,-379,0.859635921815806,"T","RCS"
"926",1341,-38,0.997868361398907,"T","RCS"
"927",999,-380,0.85838826726584,"T","RCS"
"928",998,-381,0.857295275342157,"T","RCS"
"929",997,-382,0.856312618569674,"T","RCS"
"930",996,-383,0.856015181069766,"T","RCS"
"931",995,-384,0.855936728877548,"T","RCS"
"932",994,-385,0.85520693318248,"T","RCS"
"933",993,-386,0.854325139974724,"T","RCS"
"934",992,-387,0.85353304822005,"T","RCS"
"935",991,-388,0.853675788881696,"T","RCS"
"936",990,-389,0.852688800139288,"T","RCS"
"937",1340,-39,0.997246833486113,"T","RCS"
"938",989,-390,0.852039489038122,"T","RCS"
"939",988,-391,0.85043764598515,"T","RCS"
"940",987,-392,0.849151463182009,"T","RCS"
"941",986,-393,0.847847467012437,"T","RCS"
"942",985,-394,0.846426291732093,"T","RCS"
"943",984,-395,0.846060023523081,"T","RCS"
"944",983,-396,0.833163392703868,"T","RCS"
"945",982,-397,0.832512380720688,"T","RCS"
"946",981,-398,0.832442613296001,"T","RCS"
"947",980,-399,0.831920454737669,"T","RCS"
"948",1375,-4,0.974872276546615,"T","RCS"
"949",1339,-40,0.99711915864574,"T","RCS"
"950",979,-400,0.830707233819153,"T","RCS"
"951",978,-401,0.830716188211807,"T","RCS"
"952",977,-402,0.830865120383902,"T","RCS"
"953",976,-403,0.83004062459775,"T","RCS"
"954",975,-404,0.768769717739928,"T","RCS"
"955",974,-405,0.767596778424464,"T","RCS"
"956",973,-406,0.767073109647464,"T","RCS"
"957",972,-407,0.76751181000427,"T","RCS"
"958",971,-408,0.76730052160213,"T","RCS"
"959",970,-409,0.76703481029827,"T","RCS"
"960",1338,-41,0.996453206628923,"T","RCS"
"961",969,-410,0.766307177701974,"T","RCS"
"962",968,-411,0.765082496824469,"T","RCS"
"963",967,-412,0.764711732496256,"T","RCS"
"964",966,-413,0.763797809761246,"T","RCS"
"965",965,-414,0.76335244000985,"T","RCS"
"966",964,-415,0.762413008549977,"T","RCS"
"967",963,-416,0.762376322716081,"T","RCS"
"968",962,-417,0.76220011102777,"T","RCS"
"969",961,-418,0.761323172503724,"T","RCS"
"970",960,-419,0.760549455368235,"T","RCS"
"971",1337,-42,0.996048932519038,"T","RCS"
"972",959,-420,0.760224684864548,"T","RCS"
"973",958,-421,0.759912400687937,"T","RCS"
"974",957,-422,0.759850691048718,"T","RCS"
"975",956,-423,0.759821618775859,"T","RCS"
"976",955,-424,0.758873028303735,"T","RCS"
"977",954,-425,0.758047033085726,"T","RCS"
"978",953,-426,0.756500576874531,"T","RCS"
"979",952,-427,0.75606355189332,"T","RCS"
"980",951,-428,0.75556956921717,"T","RCS"
"981",950,-429,0.754772526505131,"T","RCS"
"982",1336,-43,0.995549068726811,"T","RCS"
"983",949,-430,0.754083803651725,"T","RCS"
"984",948,-431,0.754066607939721,"T","RCS"
"985",947,-432,0.754205068577058,"T","RCS"
"986",946,-433,0.754051019736655,"T","RCS"
"987",945,-434,0.759713507797859,"T","RCS"
"988",944,-435,0.760044087883628,"T","RCS"
"989",943,-436,0.760116681054604,"T","RCS"
"990",942,-437,0.759826481612332,"T","RCS"
"991",941,-438,0.75990742304471,"T","RCS"
"992",940,-439,0.759633488394374,"T","RCS"
"993",1335,-44,0.995193702642623,"T","RCS"
"994",939,-440,0.759664192806381,"T","RCS"
"995",938,-441,0.759027561632992,"T","RCS"
"996",937,-442,0.757931553890328,"T","RCS"
"997",936,-443,0.756921584400182,"T","RCS"
"998",935,-444,0.756441986231602,"T","RCS"
"999",934,-445,0.756026797827819,"T","RCS"
"1000",933,-446,0.755928399079139,"T","RCS"
"1001",932,-447,0.755749792836872,"T","RCS"
"1002",931,-448,0.79618124267231,"T","RCS"
"1003",930,-449,0.796516264005931,"T","RCS"
"1004",1334,-45,0.994663844992955,"T","RCS"
"1005",929,-450,0.796370231411916,"T","RCS"
"1006",928,-451,0.785252607575114,"T","RCS"
"1007",927,-452,0.784798072313461,"T","RCS"
"1008",926,-453,0.784160597774186,"T","RCS"
"1009",925,-454,0.784029810502988,"T","RCS"
"1010",924,-455,0.784041920011664,"T","RCS"
"1011",923,-456,0.783859802515341,"T","RCS"
"1012",922,-457,0.783167784891123,"T","RCS"
"1013",921,-458,0.783183310140085,"T","RCS"
"1014",920,-459,0.783040591390279,"T","RCS"
"1015",1333,-46,0.994087378605263,"T","RCS"
"1016",919,-460,0.783127201763306,"T","RCS"
"1017",918,-461,0.783104793048888,"T","RCS"
"1018",917,-462,0.782890371658713,"T","RCS"
"1019",916,-463,0.782486596655469,"T","RCS"
"1020",915,-464,0.782377142117577,"T","RCS"
"1021",914,-465,0.782627622189796,"T","RCS"
"1022",913,-466,0.782502288421278,"T","RCS"
"1023",912,-467,0.782331807292783,"T","RCS"
"1024",911,-468,0.782105494907212,"T","RCS"
"1025",910,-469,0.782120831616273,"T","RCS"
"1026",1332,-47,0.993789563228132,"T","RCS"
"1027",909,-470,0.782254947529827,"T","RCS"
"1028",908,-471,0.782093527751296,"T","RCS"
"1029",907,-472,0.782217527185252,"T","RCS"
"1030",906,-473,0.806099660940309,"T","RCS"
"1031",905,-474,0.805953470653754,"T","RCS"
"1032",904,-475,0.805771309046031,"T","RCS"
"1033",903,-476,0.805455033322971,"T","RCS"
"1034",902,-477,0.805351576955598,"T","RCS"
"1035",901,-478,0.805286420747051,"T","RCS"
"1036",900,-479,0.804881223145842,"T","RCS"
"1037",1331,-48,0.993599245578204,"T","RCS"
"1038",899,-480,0.804651121517563,"T","RCS"
"1039",898,-481,0.804570133491501,"T","RCS"
"1040",897,-482,0.804783625867064,"T","RCS"
"1041",896,-483,0.804651032261341,"T","RCS"
"1042",895,-484,0.804472520655,"T","RCS"
"1043",894,-485,0.803967404047675,"T","RCS"
"1044",893,-486,0.804085032253935,"T","RCS"
"1045",892,-487,0.803902582488538,"T","RCS"
"1046",891,-488,0.803943086290892,"T","RCS"
"1047",890,-489,0.803726486909785,"T","RCS"
"1048",1330,-49,0.994160670201649,"T","RCS"
"1049",889,-490,0.803756898219424,"T","RCS"
"1050",888,-491,0.80406004923843,"T","RCS"
"1051",887,-492,0.803975685120142,"T","RCS"
"1052",886,-493,0.829989153231417,"T","RCS"
"1053",885,-494,0.829712374993213,"T","RCS"
"1054",884,-495,0.82968492452331,"T","RCS"
"1055",883,-496,0.829657904776294,"T","RCS"
"1056",882,-497,0.829484134330737,"T","RCS"
"1057",881,-498,0.829612616298233,"T","RCS"
"1058",880,-499,0.82947283462261,"T","RCS"
"1059",1374,-5,0.974792079754713,"T","RCS"
"1060",1329,-50,1.02395415265023,"T","RCS"
"1061",879,-500,0.829232061574985,"T","RCS"
"1062",878,-501,0.829079104974154,"T","RCS"
"1063",877,-502,0.883944800957857,"T","RCS"
"1064",876,-503,0.883509103482257,"T","RCS"
"1065",875,-504,0.88310139398983,"T","RCS"
"1066",874,-505,0.883192877610879,"T","RCS"
"1067",873,-506,0.882792440462846,"T","RCS"
"1068",872,-507,0.882898338408345,"T","RCS"
"1069",871,-508,0.882829000771544,"T","RCS"
"1070",870,-509,0.882819550654665,"T","RCS"
"1071",1328,-51,1.02319161982008,"T","RCS"
"1072",869,-510,0.882838243494929,"T","RCS"
"1073",868,-511,0.882693650347123,"T","RCS"
"1074",867,-512,0.882420214436958,"T","RCS"
"1075",866,-513,0.882176107961408,"T","RCS"
"1076",865,-514,0.882136018440686,"T","RCS"
"1077",864,-515,0.882212622049863,"T","RCS"
"1078",863,-516,0.882277307041474,"T","RCS"
"1079",862,-517,0.882416516719885,"T","RCS"
"1080",861,-518,0.882215522473524,"T","RCS"
"1081",860,-519,0.915665202835973,"T","RCS"
"1082",1327,-52,1.02312358604561,"T","RCS"
"1083",859,-520,0.915804456634496,"T","RCS"
"1084",858,-521,0.915879424906034,"T","RCS"
"1085",857,-522,0.915799360663446,"T","RCS"
"1086",856,-523,0.915570941267425,"T","RCS"
"1087",855,-524,0.915245662446619,"T","RCS"
"1088",854,-525,0.915506297523233,"T","RCS"
"1089",853,-526,0.915541348542026,"T","RCS"
"1090",852,-527,0.915449371255021,"T","RCS"
"1091",851,-528,0.915312466980258,"T","RCS"
"1092",850,-529,0.915265592959873,"T","RCS"
"1093",1326,-53,1.02325685079128,"T","RCS"
"1094",849,-530,0.915289801432102,"T","RCS"
"1095",848,-531,0.946553010614887,"T","RCS"
"1096",847,-532,0.946610766810813,"T","RCS"
"1097",846,-533,0.944484853949884,"T","RCS"
"1098",845,-534,0.944464304273989,"T","RCS"
"1099",844,-535,0.944408561887848,"T","RCS"
"1100",843,-536,0.960725132693929,"T","RCS"
"1101",842,-537,0.960444529458631,"T","RCS"
"1102",841,-538,0.960315327705963,"T","RCS"
"1103",840,-539,0.960301955527369,"T","RCS"
"1104",1325,-54,1.02333302324915,"T","RCS"
"1105",839,-540,0.960338251080444,"T","RCS"
"1106",838,-541,0.947300238454656,"T","RCS"
"1107",837,-542,0.947014666551892,"T","RCS"
"1108",836,-543,0.946808913229963,"T","RCS"
"1109",835,-544,0.946460808258594,"T","RCS"
"1110",834,-545,0.94605780825566,"T","RCS"
"1111",833,-546,0.953520335879124,"T","RCS"
"1112",832,-547,0.928650490977525,"T","RCS"
"1113",831,-548,0.874874520519434,"T","RCS"
"1114",830,-549,0.874291051637968,"T","RCS"
"1115",1324,-55,1.02339153708825,"T","RCS"
"1116",829,-550,0.900852274571193,"T","RCS"
"1117",828,-551,0.900764894540236,"T","RCS"
"1118",827,-552,0.900797296312075,"T","RCS"
"1119",826,-553,0.92005004094534,"T","RCS"
"1120",825,-554,0.919558083217506,"T","RCS"
"1121",824,-555,0.917509061737427,"T","RCS"
"1122",823,-556,0.917207124186388,"T","RCS"
"1123",822,-557,0.967417189653012,"T","RCS"
"1124",821,-558,0.967168284250494,"T","RCS"
"1125",820,-559,0.966586688844259,"T","RCS"
"1126",1323,-56,1.02269358880415,"T","RCS"
"1127",819,-560,0.966289347526234,"T","RCS"
"1128",818,-561,0.981076476393371,"T","RCS"
"1129",817,-562,0.980589156099662,"T","RCS"
"1130",816,-563,0.979965052558048,"T","RCS"
"1131",815,-564,0.979985715531744,"T","RCS"
"1132",814,-565,0.979827289376473,"T","RCS"
"1133",813,-566,0.979647691453218,"T","RCS"
"1134",812,-567,0.979318323236288,"T","RCS"
"1135",811,-568,0.978909258716995,"T","RCS"
"1136",810,-569,0.978407709109258,"T","RCS"
"1137",1322,-57,1.02297644729152,"T","RCS"
"1138",809,-570,0.978376079598333,"T","RCS"
"1139",808,-571,1.00258327751457,"T","RCS"
"1140",807,-572,1.00236253919842,"T","RCS"
"1141",806,-573,1.00205489734075,"T","RCS"
"1142",805,-574,1.0023122502194,"T","RCS"
"1143",804,-575,1.00188767495285,"T","RCS"
"1144",803,-576,1.0016571314861,"T","RCS"
"1145",802,-577,1.00205467662431,"T","RCS"
"1146",801,-578,1.00245732583987,"T","RCS"
"1147",800,-579,1.0023300126601,"T","RCS"
"1148",1321,-58,1.02223539077989,"T","RCS"
"1149",799,-580,1.00159237963391,"T","RCS"
"1150",798,-581,1.00133594183073,"T","RCS"
"1151",797,-582,1.00154382121081,"T","RCS"
"1152",796,-583,1.00192527271319,"T","RCS"
"1153",795,-584,1.00190227087975,"T","RCS"
"1154",794,-585,1.0026244477793,"T","RCS"
"1155",793,-586,1.03606471682603,"T","RCS"
"1156",792,-587,1.03589718464619,"T","RCS"
"1157",791,-588,1.03642303216012,"T","RCS"
"1158",790,-589,1.03576891462173,"T","RCS"
"1159",1320,-59,0.999967131585428,"T","RCS"
"1160",789,-590,1.03531516932798,"T","RCS"
"1161",788,-591,1.03495042169306,"T","RCS"
"1162",787,-592,1.03496609062974,"T","RCS"
"1163",786,-593,1.03507011284109,"T","RCS"
"1164",785,-594,1.03465411042347,"T","RCS"
"1165",784,-595,1.03403782251277,"T","RCS"
"1166",783,-596,1.03295511187865,"T","RCS"
"1167",782,-597,1.03279320100246,"T","RCS"
"1168",781,-598,1.03293514503754,"T","RCS"
"1169",780,-599,1.03258044456331,"T","RCS"
"1170",1373,-6,0.973858117645445,"T","RCS"
"1171",1319,-60,0.999244562752115,"T","RCS"
"1172",779,-600,1.03169286782992,"T","RCS"
"1173",778,-601,1.03131024431154,"T","RCS"
"1174",777,-602,1.03107231501735,"T","RCS"
