"","model","form","error","I","T","A","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice"
"1",1,"multiplicative","lnorm",TRUE,TRUE,TRUE,0,0,0,0,0,0,0
"2",2,"multiplicative","lnorm",FALSE,TRUE,TRUE,1,1,1,1,1,1,1
