"","X","X.1","file","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","form","error","I","T","A","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice"
"20",2566,2566,"aust005p.rwl",1350,141.50225617856,0.48505632379082,524.758558407627,317.392230649528,-938.355164425393,0.395165213479032,0.324845965837946,2159.71484120791,2193.11348044012,2896.63876287739,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"21",2568,2568,"aust005x.rwl",1350,151.410950924407,NA,237.31685447178,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"22",2568,2568,"aust005x.rwl",1350,141.884526213674,0.285318778647297,237.31685447178,109.817780550411,-221.966946824975,0.537252502377701,0.483289149226733,727.702946077298,761.292281555705,1466.6176765227,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"23",2569,2569,"aust006.rwl",1473,162.277634725143,NA,860.805517629178,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"24",2569,2569,"aust006.rwl",1473,151.527481727638,0.499192533844903,860.805517629178,366.81236956604,-1066.20994428561,0.573873119939669,0.525333475516495,2435.47485202649,2470.48066226582,3237.82141641884,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"25",2570,2570,"aust006e.rwl",1473,162.571329400817,NA,781.57202630759,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"26",2570,2570,"aust006e.rwl",1473,151.764493820022,0.48172870863513,781.57202630759,341.596071720654,-1013.75530914566,0.56293718272586,0.513064503626883,2331.03960593136,2366.16095506906,3134.64116272427,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"27",2572,2572,"aust006l.rwl",1473,160.921805998598,NA,533.343404169014,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"28",2572,2572,"aust006l.rwl",1473,150.396018924929,0.420444662849106,533.343404169014,260.210907770935,-813.326794363009,0.512113760596024,0.457004095951009,1927.44562657588,1961.90278447407,2723.80103159476,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"29",2573,2573,"aust006n.rwl",1473,163.150532347665,NA,149.669869009812,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
